target_uniprot_id	compound_bindingdb_id	pEC50
P04150	50201099	7.9
P04150	50417026	8.172
P04150	50417605	6
P04150	50417610	7.5
P04150	50417609	7.6
P04150	50417606	7.6
P04150	50417615	7.9
P04150	50417616	7.45
P04150	50417608	8
P04150	50417613	8.2
P04150	50417611	8.3
P04150	50417617	8.4
P04150	50417607	8.4
P04150	50417614	8.699
P04150	50417612	7.9
P04150	50424082	5.208
P04150	50424083	6.115
P04150	50424084	5.817
P04150	50424085	5.744
P04150	50424086	5.551
P04150	50424090	5.621
P04150	50424091	6.661
P04150	50424092	6.041
P04150	50424094	5.842
P04150	50424095	6.349
P04150	50424096	5.159
P04150	50440099	8.332
P04150	50440100	8.183
P04150	50440101	8.35
P04150	50440097	7.504
P04150	50440102	7.23
P04150	50440104	7.334
P04150	50440105	7.41
P04150	50440106	7.487
P04150	50440098	6.949
P04150	50440107	6.763
P04150	50440109	7.378
P04150	50440110	7.072
P04150	50440111	5.804
P04150	50440113	7.05
P04150	50440096	7.657
P04150	50440103	6.955
P04150	50440108	6.502
P04150	50440112	6.764
P04150	50440114	6.523
P04150	50440115	5.939
P04150	50440207	7.314
P04150	50440208	6.12
P04150	50440209	7.179
P04150	50440210	6.341
P04150	50440211	6.616
P04150	50440213	7.048
P04150	50440214	7.041
P04150	50440215	6.595
P04150	50440216	7.441
P04150	50440217	7.41
P04150	50440218	7.096
P04150	50440219	8.758
P04150	50440220	8.103
P04150	50440221	6.851
P04150	50440222	7.538
P04150	50440223	7.31
P04150	50440225	7.77
P04150	50440226	7.137
P04150	50440227	6.41
P04150	50440228	7.18
P04150	50440229	7.086
P04150	50440230	6.152
P04150	50440231	7.538
P04150	50440232	7.092
P04150	50440233	7.745
P04150	50440234	7.06
P04150	50440235	5.364
P04150	50440237	5.714
P04150	50440238	5.991
P04150	50440212	6.567
P04150	50440239	5.921
P04150	50440240	6.896
P04150	50440241	6.02
P04150	50440242	7.337
P04150	50440243	8.418
P04150	50440244	7.699
P04150	50440245	6.21
P04150	50440246	7.375
P04150	50440484	6.833
P04150	50440485	6.899
P04150	50440487	7.557
P04150	50440488	7.378
P04150	50440490	7.481
P04150	50440497	6.101
P04150	50440499	5.87
P04150	50440486	5.921
P04150	50440494	6.638
P04150	50440500	6.648
P04150	50440491	6.658
P04150	50440501	6.854
P04150	50440493	6.943
P04150	50440495	6.955
P04150	50440498	7.051
P10827	18867	9.42
P10827	18868	6.721
P10827	18869	8.344
P10827	18870	9.523
P10827	18871	6.987
P10827	18872	8.143
P10827	18873	7.824
P10827	18874	8.854
P10827	18875	8.638
P10827	18877	8.824
P10827	18878	5.824
P10827	18879	7.18
P10827	18880	7.77
P10827	18881	7.187
P10827	18882	6.77
P10827	18894	6.42
P10827	18896	7.638
P10827	18902	9.155
P10827	18903	9.086
P10827	18904	9.377
P10827	18906	9.222
P10827	18887	9.276
P10827	18886	7.495
P10827	18860	8.66
P10827	36488	5.412
P10827	36487	7.714
P10827	50012901	5.154
P10827	50012903	5.052
P10827	50012859	4.921
P10827	50012817	4.842
P10827	50012902	4.806
P10827	50012906	6.108
P10827	50012907	6.086
P10827	50012908	5.903
P10827	50012911	5.561
P10827	50012912	5.484
P10827	50012905	5.427
P10827	50012910	5.368
P10827	50115668	7.935
P10827	50012914	6.678
P10827	50012913	6.481
P10827	50012916	6.409
P10827	50012915	6.387
P10827	50012918	6.155
P10827	50012917	6.125
P10827	50123044	7.921
P10827	50123052	5.824
P10827	50063752	5.608
P10827	50163887	7.638
P10827	50163888	8.523
P10827	50163889	8.097
P10827	50163890	8.398
P10827	50163891	6.939
P10827	50163892	8.097
P10827	50163893	7.824
P10827	50163895	9.699
P10827	50163894	7.959
P10827	50163896	8.108
P10827	50163898	8.398
P10827	50163897	8.585
P10827	50163902	7.824
P10827	50163899	8.398
P10827	50163900	8.495
P10827	50163901	8.921
P10827	50163904	7.745
P10827	50163905	7.143
P10827	50163903	6.305
P10827	50163906	9.301
P10827	50251497	5.976
P10827	50251496	6.654
P10827	50375343	7.328
P10827	50375349	7.124
P10827	50375346	7.202
P10827	50375347	6.719
P10827	50375342	7.021
P10827	50375345	7.53
